"ltla21_code","Assessed as homeless or threatened with homelessness per 1,000","Households in temporary accommodation per 1,000"
"S12000033",10.9000971645614,14.6365162088155
"S12000034",6.81212015215776,4.07502951335753
"S12000041",9.62488563586459,7.35590118938701
"S12000035",10.1820354877264,11.3082651466397
"S12000005",20.0222928621558,21.7561821409404
"S12000006",12.7934767327429,13.1871221706734
"S12000042",15.7275009361608,21.0948226842156
"S12000008",14.1798203540595,8.86020755210604
"S12000045",6.2780269058296,9.13944052957506
"S12000010",11.6806739789585,31.8674833641969
"S12000011",9.88890866105702,11.795510587996
"S12000036",13.591458425768,58.8637557038128
"S12000013",8.77465444944867,16.3068799503028
"S12000014",13.056451939565,23.4935122800859
"S12000047",12.4409476271551,21.941624586706
"S12000049",18.0490863489789,40.7272099094027
"S12000017",11.3541239959392,19.3420841719059
"S12000018",7.9299388567004,5.66042773609591
"S12000019",13.9829897650281,32.2185382730287
"S12000020",8.63609291244789,10.6519448389609
"S12000021",14.2638973732437,15.3940134392181
"S12000050",11.2791225906937,15.1015640210267
NA,NA,NA
"S12000048",9.97382754474075,3.84805828676523
"S12000038",9.29477212259424,9.67485574099029
"S12000026",11.7356948719333,8.83777021797433
"S12000027",9.51112801978315,35.000951112802
"S12000028",15.6866393747674,19.7245999255675
"S12000029",15.2021891152326,18.5136224833767
"S12000030",10.1960203426653,35.9206043549104
"S12000039",24.789470119432,26.1215090420608
"S12000040",14.3327212452091,34.531629345723
